Question,Answer
when was everybody hates chris made?,"Everybody Hates Chris is an American television period sitcom that depicts the teenage experiences of comedian Chris Rock (who is also the narrator ) while growing up in the Bedford-Stuyvesant neighborhood of Brooklyn, New York."
when was fdr elected as president?,"Franklin Delano Roosevelt ( or ; January 30, 1882 – April 12, 1945), also known by his initials, FDR, was the 32nd President of the United States (1933–1945) and a central figure in world events during the mid-20th century, leading the United States during a time of worldwide economic depression and total war."
when was How the west was won filmed?,How the West Was Won is a 1962 American epic - Western film.
when was jacques cousteau born?,"Jacques-Yves Cousteau (; commonly known in English as Jacques Cousteau; 11 June 1910 – 25 June 1997) was a French naval officer, explorer , conservationist , filmmaker, innovator, scientist, photographer, author and researcher who studied the sea and all forms of life in water."
when was james madison in the house of representatives?,"In 1789, Madison became a leader in the new House of Representatives , drafting many basic laws."
when was jamestown colonized?,"Established by the Virginia Company of London as ""James Fort"" on May 14, 1607 ( O.S. , May 24, 1607 N.S. ), it followed several earlier failed attempts, including the Lost Colony of Roanoke."
when was kirstie alley on cheers?,"Kirstie Louise Alley (born January 12, 1951) is an American actress and comedian known for her role in the TV series Cheers , in which she played Rebecca Howe from 1987–1993, winning an Emmy Award and a Golden Globe Award as the Outstanding Lead Actress in a Comedy Series in 1991."
when was malcolm x assassinated?,"Malcolm X (; May 19, 1925February 21, 1965), born Malcolm Little and also known as El-Hajj Malik El-Shabazz (), was an African-American Muslim minister and human rights activist."
when was Mary Anderson born?,"Mary Anderson (1866–1953) was a real estate developer, rancher, viticulturist and inventor of the windshield wiper blade."
when was pearl harbor bombed?,"The attack on Pearl Harbor (called Hawaii Operation or Operation AI by the Japanese Imperial General Headquarters (Operation Z in planning) and the Battle of Pearl Harbor) was a surprise military strike conducted by the Imperial Japanese Navy against the United States naval base at Pearl Harbor , Hawaii, on the morning of December 7, 1941 (December 8 in Japan)."
when was pokemon first started?,is a media franchise published and owned by Japanese video game company Nintendo and created by Satoshi Tajiri in 1996.
when was Pope Benedict XVI elected?,"Benedict was elected on 19 April 2005 in a papal conclave , celebrated his Papal Inauguration Mass on 24 April 2005, and took possession of his cathedral, the Archbasilica of St. John Lateran , on 7 May 2005."
when was purple haze by jimi hendrix made?,"""Purple Haze"" is a song written and recorded by Jimi Hendrix in 1967, released as the second single by The Jimi Hendrix Experience in both the United Kingdom and the United States."
when was queen elizabeth ii married?,"In 1947, she married Prince Philip, Duke of Edinburgh , with whom she has four children: Charles , Anne , Andrew , and Edward."
when was raphael born?,"Raffaello Sanzio da Urbino (April 6 or March 28, 1483 – April 6, 1520), better known simply as Raphael, was an Italian painter and architect of the High Renaissance."
when was Saddle Creek founded?,"Started as a college class project on entrepreneurship, the label was founded by Mike Mogis and Justin Oberst in 1993 (as Lumberjack Records)."
when was scooby doo created?,"Scooby-Doo is an American animated cartoon franchise , comprising several animated television series produced from 1969 to the present day."
when was steven tyler born?,"Steven Tyler (born Steven Victor Tallarico; March 26, 1948) is an American singer, songwriter, and multi-instrumentalist, best known as the frontman and lead singer of the Boston -based rock band Aerosmith , in which he also plays the harmonica, and occasional piano and percussion."
when was the american labor union formed?,"Most unions in America are aligned with one of two larger umbrella organizations: the AFL-CIO created in 1955, and the Change to Win Federation which split from the AFL-CIO in 2005."
when was the battle at tombstone fought?,"The Gunfight at the O.K. Corral was a gunfight that took place at about 3:00 p.m. on Wednesday, October 26, 1881, in Tombstone , Arizona Territory , and is generally regarded as the most famous gunfight in the history of the American Old West."
when was the constitution written?,"George Washington at Constitutional Convention of 1787, signing of U.S. Constitution."
When was the first Mary Poppins book written?,"Throughout the Mary Poppins series, which lasted from 1934 to 1988, Mary Shepard was the illustrator and acted as a second author."
when was the first nfl madden game released?,"Due to Madden's insistence that the game be as realistic as possible, the first version of John Madden Football was not released until 1988."
when was the first super bowl?,"For example, Super Bowl I was played on January 15, 1967, following the 1966 regular season , while Super Bowl XLVII was played on February 3, 2013, following the 2012 season."
when was the great fire in chicago?,"The Great Chicago Fire was a conflagration that burned from Sunday, October 8, to early Tuesday, October 10, 1871, killing hundreds and destroying about in Chicago , Illinois."
when was the internet started?,The history of the Internet began with the development of electronic computers in the 1950s.
when was the lady gaga judas song released?,"""Judas"" is a song by American recording artist Lady Gaga , from her second studio album Born This Way (2011)."
when was the patriot act enacted?,"The USA PATRIOT Act of 2001 is an Act of the U.S. Congress that was signed into law by President George W. Bush on October 26, 2001."
when was the state of utah established?,"Utah became the 45th state admitted to the Union on January 4, 1896."
when was the tacoma bridge collapse?,"TheTacoma Bridge became known for its pitching deck, and collapsed into Puget Sound the morning of November 7, 1940, under high wind conditions."
when was the trogan war?,"The ancient Greeks thought that the Trojan War was a historical event that had taken place in the 13th or 12th century BC, and believed that Troy was located in modern-day Turkey near the Dardanelles."
when was the web invented?,"Using concepts from his earlier hypertext systems like ENQUIRE , British engineer, computer scientist and at that time employee of the CERN , Sir Tim Berners-Lee , now Director of the World Wide Web Consortium (W3C), wrote a proposal in March 1989 for what would eventually become the World Wide Web."
when was washington elected president?,"George Washington was the first President of the United States (1789–1797), the commander-in-chief of the Continental Army during the American Revolutionary War , and one of the Founding Fathers of the United States."
when will ie9 be released?,"ie9 was released to the public on March 14, 2011."
where  is kj 52 from?,"Jonah Kirsten Sorrentino (born June 26, 1975), better known by his stage name KJ-52, is a Christian rapper from Tampa, Florida."
where are facial sinuses?,"Paranasal sinuses are a group of four paired air-filled spaces that surround the nasal cavity ( maxillary sinuses ), above the eyes ( frontal sinuses ), between the eyes ( ethmoid sinuses ), and behind the ethmoids ( sphenoid sinuses )."
where are Giant Panda Bears found?,"The giant panda lives in a few mountain ranges in central China, mainly in Sichuan province, but also in the Shaanxi and Gansu provinces."
where are kenworth trucks built?,"Kenworth is an American manufacturer of medium and heavy-duty Class 8 trucks based in Kirkland, Washington , United States , a suburb of Seattle, Washington."
Where Are Mahindra Tractors Made?,"Mahindra has a huge consumer base in India, China and America and a growing base in Australia."
where are poison dart frog seen?,"Poison dart frog (also dart-poison frog, poison frog or formerly poison arrow frog) is the common name of a group of frogs in the family Dendrobatidae which are native to Central and South America."
where are the internal and external iliac arteries?,The external iliac arteries are two major arteries which bifurcate off the common iliac arteries anterior to the sacroiliac joint of the pelvis.
where are the kidneys in your body?,"Located at the rear of the abdominal cavity in the retroperitoneum , the kidneys receive blood from the paired renal arteries , and drain into the paired renal veins."
where are the most concentration of jews living?,"According to this report, about 42.5% of all Jews reside in Israel (5.7 million), and 39.3% in the United States (5.3 million), with most of the remainder living in Europe (1.5 million) and Canada (0.4 million)."
where are the ten commandments in the bible?,"The Ten Commandments appear twice in the Hebrew Bible , in the books of Exodus and Deuteronomy."
where did columbus really land in 1492?,"During his first voyage in 1492, instead of reaching Japan as he had intended, Columbus landed in the Bahamas archipelago , at a locale he named San Salvador."
where did erisa come from?,"The Employee Retirement Income Security Act of 1974 (ERISA) (, codified in part at ) is a federal law which establishes minimum standards for pension plans in private industry and provides for extensive rules on the federal income tax effects of transactions associated with employee benefit plans."
where did hurricane katrina begin?,Hurricane Katrina was the deadliest and most destructive Atlantic hurricane of the 2005 Atlantic hurricane season.
where did mark jackson play pro basketball?,"A point guard from St. John's University , he played for the New York Knicks , Indiana Pacers , Los Angeles Clippers , Denver Nuggets , Toronto Raptors , Utah Jazz and Houston Rockets in the NBA in a career spanning from 1987 to 2004."
where did the early humans live?,"Homo erectus and Homo ergaster were the first of the hominina to leave Africa, and these species spread through Africa, Asia, and Europe between."
where did the mayflower land?,"The Mayflower was the ship that in 1620 transported 102 English Pilgrims , including a core group of Separatists , to New England."
where did the olmecs come from?,"They lived in the tropical lowlands of south-central Mexico, in the modern-day states of Veracruz and Tabasco."
where did the persian war take place?,The Greco-Persian Wars (also often called the Persian Wars) were a series of conflicts between the Achaemenid Empire of Persia and city-states of the Hellenic world that started in 499 BC and lasted until 449 BC.
where did the vietnamese settle in america?,"More than sixty percent of Vietnamese Americans reside in the states of California , Texas , Washington , Florida , and Virginia."
where did world war 1 start?,"On 28 July, the Austro-Hungarians fired the first shots of the war as preparation for the invasion of Serbia."
where do crocodiles live?,"Crocodiles (subfamily Crocodylinae) or true crocodiles are large aquatic tetrapods that live throughout the tropics in Africa , Asia , the Americas and Australia."
where do cruises dock in new york city?,New York City Cruise Liner Terminal in Hell's Kitchen at 52nd Street.
where do dungeness crab live?,"The Dungeness crab, Metacarcinus magister (formerly Cancer magister), is a species of crab that inhabits eelgrass beds and water bottoms on the west coast of North America."
where do mangos come from?,"The mango is native to South Asia , from where it has been distributed worldwide to become one of the most cultivated fruits in the tropics."
where do sesame seeds come from?,Numerous wild relatives occur in Africa and a smaller number in India.
where do the mohawks live?,"Kanien'kehá:ka (""People of the Place of Flint"") are an Iroquoian -speaking indigenous people of North America originally from the Mohawk Valley in upstate New York."
where do women ejeculation exactly coming from?,Female ejaculation is the expulsion of fluid by human females from the paraurethral ducts through and around the female urethra during or before an orgasm.
where do you find iodine?,"Iodine is found on Earth mainly as the highly water-soluble iodide ion, I−, which concentrates it in oceans and brine pools."
where does a flea live?,"Fleas are external parasites , living by hematophagy off the blood of mammals and birds."
where does angela davis currently work?,"Angela Davis is a retired professor with the History of Consciousness Department at the University of California, Santa Cruz , and is the former director of the university's Feminist Studies department."
where does cashmere come from?,"Cashmere wool, usually simply known as cashmere, is a fiber obtained from Cashmere goats and other types of goat."
where does cellular respiration occur?,"Cellular respiration is the set of the metabolic reactions and processes that take place in the cells of organisms to convert biochemical energy from nutrients into adenosine triphosphate (ATP), and then release waste products."
where does ground pepper come from?,"Black pepper (Piper nigrum) is a flowering vine in the family Piperaceae , cultivated for its fruit , which is usually dried and used as a spice and seasoning."
where does ray lamontagne live?,Ray lamontagne lives in Massachusetts with his wife and two children.
"where does the expression ""knocking on wood"" come from?","Knocking on wood, or to touch wood, refers to the apotropaic tradition in western folklore of literally touching/knocking on wood, or merely stating that you are doing or intend same, in order to avoid "" tempting fate "" after making a favourable observation, a boast, or declaration concerning one's own death."
where does the return address go on mail?,"In some countries, the return address is conventionally located in the upper left hand corner of the envelope , card, or label."
Where does the word baptism come from?,"Baptism (from the Greek noun βάπτισμα baptisma; itself derived from βαπτισμός baptismos, washing) is a Christian rite of admission (or adoption ), almost invariably with the use of water, into the Christian Church generally and also a particular church tradition."
Where Elephants Live?,"Elephants are scattered throughout sub-Saharan Africa , and South and Southeast Asia."
where fourth of july came from?,"Independence Day, commonly known as the Fourth of July, is a federal holiday in the United States commemorating the adoption of the Declaration of Independence on July 4, 1776, declaring independence from the Kingdom of Great Britain."
where in oregon is albany?,"Albany is the 11th largest city in the U.S. state of Oregon , and is the county seat of Linn County."
where in the world are smallpox common?,The earliest physical evidence of it is probably the pustular rash on the mummified body of Pharaoh Ramses V of Egypt.
WHere is a famous alluvial plain?,"The Mississippi River Alluvial Plain is an alluvial plain created by the Mississippi River on which lies parts of seven U.S. states , from southern Louisiana to southern Illinois."
where is al jazeera based?,"Al Jazeera ( ' , literally ""The Island"", abbreviating "" The [Arabian] Peninsula ""), also known as Aljazeera and JSC (Jazeera Satellite Channel), is a broadcaster owned by the privately held Al Jazeera Media Network and headquartered in Doha , Qatar."
where is andy whitfield from?,Andy Whitfield (died 11 September 2011) was a Welsh Australian actor and model.
where is basque spoken?,"Basque ( endonym : , ) is the ancestral language of the Basque people , who inhabit the Basque Country , a region spanning an area in northeastern Spain and southwestern France."
where is big pokey from?,"Milton Powell (born December 4, 1977), better known by his stage name Big Pokey, is a rap artist from Houston, Texas and is one of the original members of the Screwed Up Click."
where is bloemfontein in africa?,"Bloemfontein (, ; Dutch for ""fountain of flowers"") is the capital city of the Free State Province of South Africa ; and, as the judicial capital of the nation, one of South Africa's three national capitals – the other two being Cape Town , the legislative capital, and Pretoria , the administrative capital."
Where is Bubbles the Chimp now?,"When the trainer shut down his operation in 2004, Bubbles was moved to the Center for Great Apes , a sanctuary in Wauchula, Florida , where he has lived since 2005."
where is Chayanne from?,"Elmer Figueroa Arce (born June 28, 1968), best known under the stage name Chayanne, is a Puerto Rican Latin pop singer and actor."
where is cougar town filmed?,"Filming for the series takes place at Culver Studios in Culver City, California."
where is david ortiz from?,"David Américo Ortiz Arias (born November 18, 1975), nicknamed ""Big Papi"", is a Dominican-American professional baseball designated hitter with the Boston Red Sox of Major League Baseball (MLB)."
where is dear john filmed at?,"The movie was filmed in 2009 in Charleston, South Carolina."
where is Desmanthus Illinoensis found?,"Desmanthus illinoensis (commonly known as Illinois bundleflower, prairie-mimosa or prickleweed) is a plant in many areas of the south central US."
where is dia de los muertos celebrated?,Day of the Dead () is a Mexican holiday celebrated throughout Mexico and around the world in other cultures.
where is green bay packers from?,"The Green Bay Packers are an American football team based in Green Bay, Wisconsin."
where is hickory located nc?,"Hickory is a city in Catawba County , with parts also in Burke County and Caldwell County."
where is humboldt ks?,"Humboldt is a city situated along the Neosho River in the southwest part of Allen County , located in southeast Kansas , in the Central United States."
where is j.cole from?,"Jermaine Lamarr Cole (born January 28, 1985), better known by his stage name J. Cole, is an American hip-hop recording artist and record producer from Fayetteville, North Carolina."
where is jamestown north carolina?,"Jamestown is a town in Guilford County , North Carolina , United States , and is a suburb of the nearby cities of Greensboro and High Point."
where is keith whitley from?,"Jackie Keith Whitley (July 1, 1954Stambler, Irwin, and Grelun Landon (2000). - Country Music: The Encyclopedia. - New York: St. Martin's Press. - p.533. - ISBN 978-0-312-26487-1.—Carlin, Richard (2003). - Country Music: A Biographical Dictionary. - New York: Routledge - p.427. - ISBN 978-0-415-93802-0.—Larkin, Colin (1995). - The Guinness Encyclopedia of Popular Music. - New York: Stockton Press - P.4462. - ISBN 978-0-85112-662-3.—Stanton, Scott (2003). - The Tombstone Tourist: Musicians. - New York: Pocket Books. - p.395. - ISBN 978-0-7434-6330-0.—Hicks, Jack. - ""Singer Keith Whitley's Memory Alive Through Songs, Love in Home Town"". - The Kentucky Post. - September 25, 1991.—""Country Music Star Keith Whitley Dead at 33"". - Lexington Herald-Leader. - May 10, 1989.——Hurst, Jack. - ""Whitley's Last Days"". - Chicago Tribune. - May 14, 1989.—""Alcohol Kills Country Singer Keith Whitley"". - United Press International. - (c/o The San Francisco Chronicle ). - May 10, 1989. — May 9, 1989), known professionally as Keith Whitley, was an American country music singer."
where is kennywood in pittsburgh?,"Kennywood is an amusement park located in West Mifflin , Pennsylvania , a suburb of Pittsburgh."
where is kos from?,"Kevin Brereton (born February 20, 1972), better known by his stage name k-os (; ""chaos""), is a Canadian rapper , singer , songwriter and record producer."
where is La Palma africa?,La Palma () is the most north-westerly of the Canary Islands.
where is loxahatchee fl at?,"Loxahatchee is a community located in Palm Beach County , Florida , United States."
where is mark sanchez from?,"Mark Travis John Sanchez (born November 11, 1986) is an American football quarterback for the New York Jets of the National Football League (NFL)."
where is modesto california?,"Modesto ( Spanish for ""modest""), officially the City of Modesto, is the county seat and largest city of Stanislaus County , California , United States."
where is osaka japan?,"Osaka is a city in the Kansai region of Japan's main island of Honshu , a designated city under the Local Autonomy Law , the capital city of Osaka Prefecture and also the largest part of the Keihanshin metropolis, which comprises three major cities of Japan, Kyoto , Osaka and Kobe."
where is penn state stadium?,"Beaver Stadium is an outdoor college football stadium in University Park , Pennsylvania , United States , on the campus of The Pennsylvania State University."
where is rashard lewis from?,"Rashard Quovon Lewis (born August 8, 1979 in Pineville, Louisiana ) is an American professional basketball player who currently plays for the Miami Heat of the NBA."
where is rolling rock brewed?,"The brand was sold to Anheuser-Busch of St. Louis, Missouri , in mid 2006, which transferred brewing operations to New Jersey."
"WHERE IS ROUGH AND READY, CA?","Rough and Ready is a census-designated place in Nevada County, California , United States."
where is scotty mccreery from?,"Scott ""Scotty"" McCreery (born October 9, 1993) is an American country music singer from Garner, North Carolina."
"where is shropshire, uk?","Shropshire ( or ; alternatively Salop; abbreviated, in print only, Shrops) is a county in the West Midlands region of England."
Where is South Beach in Miami?,"South Beach, also nicknamed SoBe, is a neighborhood in the city of Miami Beach , Florida , United States , located due east of Miami city proper between Biscayne Bay and the Atlantic Ocean."
where is testosterone produced?,"Testosterone is a steroid hormone from the androgen group and is found in mammals, reptiles, birds, and other vertebrates."
where is the 2011 mlb all star game location?,"The event was held on Tuesday, July 12, 2011 at Chase Field in Phoenix, Arizona , home of the National League Arizona Diamondbacks."
where is the arctic circle located on the earth?,The Arctic Circle is the southernmost latitude in the Northern Hemisphere at which the sun can remain continuously above or below the horizon for 24 hours (at the June solstice and December solstice respectively).
where is the brisket from?,Brisket is a cut of meat from the breast or lower chest of beef or veal.
where is the chupacabra found?,"The Chupacabra or Chupacabras (, from chupar ""to suck"" and cabra ""goat"", literally ""goat sucker"") is a legendary cryptid rumored to inhabit parts of the Americas."
where is the country andorra located?,"Andorra, officially the Principality of Andorra, also called the Principality of the Valleys of Andorra,  is a landlocked microstate in Southwestern Europe , located in the eastern Pyrenees mountains and bordered by Spain and France."
where is the great basin located on a us map?,"The Great Basin is noted for both its arid conditions and its Basin and range topography that varies from the North American low point at Badwater Basin to the highest point of the contiguous United States , less than away at the summit of Mount Whitney."
where is the human thigh located?,"The human leg is the entire lower extremity or limb of the human body , including the foot , thigh and even the hip or gluteal region; however, the precise definition in human anatomy refers only to the section of the lower limb extending from the knee to the ankle."
where is the island New Guinea?,"Located in the southwest Pacific Ocean , it lies geographically to the east of the Malay Archipelago , with which it is sometimes included as part of a greater Indo-Australian Archipelago."
where is the palatine canal?,"The greater palatine canal (or pterygopalatine canal) is a passage in the skull that transmits the greater palatine artery , vein, and nerve between the pterygopalatine fossa and the oral cavity."
where is the Rhine river located on a map?,"The Rhine is a European river that runs from the Swiss canton of Grisons in the southeastern Swiss Alps through Germany and eventually flows into the North Sea coast in the Netherlands and is the twelfth longest river in Europe , at about , with an average discharge of more than."
where is the seed located in an artichoke?,The edible matter is buds that form within the flower heads before the flowers come into bloom.
where is the sermon on the mount in the bible?,"The Sermon on the Mount ( anglicized from the Matthean Vulgate Latin section title: Sermo in monte) is a collection of sayings and teachings of Jesus , which emphasizes his moral teaching found in the Gospel of Matthew (chapters 5 , 6 and 7 )."
where is the tibia location?,"The tibia, shinbone or shankbone, is the larger and stronger of the two bones in the leg below the knee in vertebrates (the other being the fibula ), and connects the knee with the ankle bones."
where is the valley at in los angeles?,"The San Fernando Valley (locally known as ""The Valley"") is an urbanized valley located in the Los Angeles metropolitan area of southern California , United States , defined by the mountains of the Transverse Ranges circling it."
where is the world cup in 2010?,The 2010 world cup took place in South Africa from 11 June to 11 July 2010.
where is university of nelson mandela metropolitan located?,Nelson Mandela Metropolitan University (NMMU) is a South African tertiary education institution with its main administration in the coastal city of Port Elizabeth.
where is UWA on world list of universities?,"One of Australia's best and most prestigious universities, UWA is highly ranked internationally in various publications; the 2011 QS World University Rankings placed UWA at 73rd internationally."
where is valley village ca?,"Village is a district in the San Fernando Valley region of Los Angeles, California."
where scottsdale?,"Scottsdale is a city in the eastern part of Maricopa County, Arizona , United States , adjacent to Phoenix."
where was hillary clinton born?,"A native of Illinois , Hillary Rodham first attracted national attention in 1969 for her remarks as the first student commencement speaker at Wellesley College."
where was jfk buried?,"After the Requiem Mass at St. Matthew's Cathedral , the late president was buried at Arlington National Cemetery in Virginia."
WHERE WAS JOHN WAYNE BORN?,"Wayne was born in Winterset, Iowa but his family relocated to the greater Los Angeles area when he was four years old."
where was martin luther born?,"Martin Luther (; 10 November 1483 – 18 February 1546) was a German monk , former Catholic priest , professor of theology and seminal figure of a reform movement in sixteenth century Christianity , subsequently known as the Protestant Reformation."
where was martin luther king shot?,"King was assassinated on April 4, 1968, in Memphis, Tennessee."
where was ms-13 originally from?,"Mara Salvatrucha (commonly abbreviated as MS, Mara, and MS-13) is a transnational criminal gang that originated in Los Angeles and has spread to other parts of the United States, Canada, Mexico, and Central America."
where was paul revere born?,"Paul Revere (December 21, 1734May 10, 1818) was an American silversmith , early industrialist, and a patriot in the American Revolution."
where was the first real roller coaster?,"The Scenic Railway at Luna Park, Melbourne , is the world's oldest continually-operating roller coaster, built in 1912."
where was the fugitive slave law made?,"The Fugitive Slave Law or Fugitive Slave Act was passed by the United States Congress on September 18, 1850, as part of the Compromise of 1850 between Southern slave-holding interests and Northern Free-Soilers."
where was the super bowl in 1991?,"The game was held at Tampa Stadium in Tampa, Florida , on January 27, 1991, during the height of the Gulf War."
where was the tsunami in 2005?,"The 2004 Indian Ocean earthquake was an undersea megathrust earthquake that occurred at 00:58:53 UTC on Sunday, 26 December 2004, with an epicentre off the west coast of Sumatra , Indonesia."
where were the Winter Olympics in 2006?,"The 2006 Winter Olympics, officially known as the XX Olympic Winter Games, was a winter multi-sport event which was celebrated in Turin , Italy from February 10, 2006, through February 26, 2006."
who are all of the jonas brothers?,"Formed in 2005, Jonas Brothers have gained popularity from the Disney Channel children's television network and consists of three brothers from Wyckoff, New Jersey ; Paul Kevin Jonas II , Joseph Adam Jonas and Nicholas Jerry Jonas."
who are the characters in 90210 in season 3?,"Regular cast members for the season included Shenae Grimes , Tristan Wilds , AnnaLynne McCord , Ryan Eggold , Jessica Stroup , Michael Steger , Jessica Lowndes , Matt Lanter , Gillian Zinser , Trevor Donovan and Lori Loughlin."
who are the members of the climax blues band?,"The original members of Climax Blues band were guitarist/vocalist Peter Haycock , guitarist Derek Holt; keyboardist Arthur Wood; bassist Richard Jones; drummer George Newsome; and lead vocalist and saxophonist Colin Cooper."
who are the two senators of louisiana?,The current senators of Louisiana are Democrat Mary Landrieu and Republican David Vitter.
who built the globe?,"The Globe was built in 1599 by Shakespeare's playing company , the Lord Chamberlain's Men , on land owned by Thomas Brend and inherited by his son, Nicholas Brend and grandson Sir Matthew Brend , and was destroyed by fire on 29 June 1613."
who can file suspicious activity report?,"In United States financial regulation , a suspicious activity report (or SAR) is a report made by a financial institution to the Financial Crimes Enforcement Network (FinCEN), an agency of the United States Department of the Treasury , regarding suspicious or potentially suspicious activity."
who composed the Singapore national anthem?,"Composed by Zubir Said in 1958 as a theme song for official functions of the City Council of Singapore, the song was selected in 1959 as the island's anthem when it attained self-government."
Who controlled Alaska before US?,"Alaska was purchased from Russia on March 30, 1867, for $7.2 million ($ adjusted for inflation) at approximately two cents per acre ($4.74/km2)."
who created bing?,"Bing (known previously as Live Search, Windows Live Search, and MSN Search) is a web search engine (advertised as a "" decision engine "") from Microsoft."
who created massey ferguson?,"The company was formed by a merger between Massey Harris and the Ferguson Company farm machinery manufacturer in 1953, creating the company Massey Harris Ferguson."
who created the cato institute?,"The Cato Institute was founded as the Charles Koch Foundation in 1974 by Murray Rothbard , Ed Crane and Charles Koch , chairman of the board and chief executive officer of the conglomerate Koch Industries, Inc.."
who created the tourbillon movement?,"Developed around 1795 by the French-Swiss watchmaker Abraham-Louis Breguet from an earlier idea by the English chronometer maker John Arnold , a tourbillon aims to counter the effects of gravity by mounting the escapement and balance wheel in a rotating cage, to negate the effect of gravity when the timepiece (thus the escapement) is stuck in a certain position."
who designed the statue of liberty?,"The Statue of Liberty (Liberty Enlightening the World; French: La Liberté éclairant le monde) is a neoclassical sculpture on Liberty Island in New York Harbor , designed by Frédéric Bartholdi and dedicated on October 28, 1886."
who did john f kennedy run against?,Kennedy defeated Vice President and Republican candidate Richard Nixon in the 1960 U.S. presidential election.
who did mr bojangles?,"""Mr. Bojangles"" is the title of a song originally written and recorded by American country music artist Jerry Jeff Walker for his 1968 album of the same title."
who discovered neptune the planet?,"With a prediction by Urbain Le Verrier , telescopic observations confirming the existence of a major planet were made on the night of September 23–24, 1846, at the Berlin Observatory , by astronomer Johann Gottfried Galle (assisted by Heinrich Louis d'Arrest ), working from Le Verrier's calculations."
"who discovered the 2 moons of mars,Phobos and Deimos?","Both satellites were discovered in 1877 by Asaph Hall and are named after the characters Phobos (panic/fear) and Deimos (terror/dread) who, in Greek mythology , accompanied their father Ares , god of war, into battle."
who does afge represent?,"The American Federation of Government Employees (AFGE) is an American labor union representing over 650,000 employees of the federal government , about 5,000 employees of the District of Columbia , and a few hundred private sector employees, mostly in and around federal facilities."
who does chris humphries play for?,"Kris Nathan Humphries (born February 6, 1985) is an American professional basketball player with the Brooklyn Nets."
who first synthesized heroin?,"Heroin (diacetylmorphine or morphine diacetate ( INN )), also known as diamorphine ( BAN ), and colloquially as H, smack, horse, brown, black, tar, and other names, is an opioid analgesic synthesized by C.R. Alder Wright in 1874 by adding two acetyl groups to the molecule morphine , found in the opium poppy."
who founded walmart?,"The company was founded by Sam Walton in 1962, incorporated on October 31, 1969, and publicly traded on the New York Stock Exchange in 1972."
who has brad pitt dated?,"Following a high-profile relationship with actress Gwyneth Paltrow , Pitt was married to actress Jennifer Aniston for five years."
who hit the first home run at riverfront stadium?,"On June 30, 1970, the Reds hosted the Atlanta Braves in their grand opening, with Hank Aaron hitting the first ever home run at Riverfront."
who invaded north africa during ww2?,"Operation Torch (initially called Operation Gymnast) was the British – American invasion of French North Africa in World War II during the North African Campaign , started on 8 November 1942."
who invented the internet?,"The public was first introduced to the concepts that would lead to the Internet when a message was sent over the ARPANet from computer science Professor Leonard Kleinrock's laboratory at University of California, Los Angeles ( UCLA ), after the second piece of network equipment was installed at Stanford Research Institute ( SRI )."
who invented the television?,"The earliest proposal was in 1908, in a paper by A. A. Campbell-Swinton and postulated the use of cathode rays."
who is basketball star antoine walker?,"Antoine Devon Walker (born August 12, 1976) is an American former professional basketball player."
who is bj's wholesale club?,"BJ's Wholesale Club, Inc., commonly referred to simply as BJ's, is a membership-only warehouse club chain operating on the United States East Coast , as well as in the state of Ohio."
who is carlos pena on big time rush?,"Big Time Rush (BTR) is an American television series created by Scott Fellows about the Hollywood misadventures of four hockey players from Minnesota —Kendall, James, Carlos, and Logan, after they are selected to form a boy band."
who is director jack smight?,"Jack Smight (March 9, 1925 - September 1, 2003) was an American theatre and film director."
who is Dr. JB Danquah?,"Dr. Nana Joseph Kwame Kyeretwie Boakye Danquah (December 1895 – 4 February 1965) was a Ghanaian statesman , pan-Africanist , scholar and historian."
who is ezekiel in the bible?,"The Book of Ezekiel is the third of the Latter Prophets in the Hebrew Bible , following the books of Isaiah and Jeremiah and preceding the Book of the Twelve."
who is flo from progressive?,Flo is a fictional character who appears in commercials for Progressive Insurance.
Who is General Grievous of Star Wars?,"A recurring antagonist, General Grievous is the Supreme Commander of the Confederacy of Independent Systems, a political faction of planetary systems waging war on the Galactic Republic."
who is heisman trophy named after?,"The Heisman trophy was created in 1935 as the Downtown Athletic Club trophy and renamed in 1936 following the death of the Club's athletic director, John Heisman (former Brown University and University of Pennsylvania player; head football coach at Oberlin College , Auburn University , Clemson University , Rice University , and the University of Pennsylvania; and football, basketball, and baseball head coach and athletic director at Georgia Tech )."
WHO IS HENRY SAMPSON JR.?,"Henry T. Thomas Sampson, Jr. (born in Jackson, Mississippi in 1934) is an African-American inventor."
who is in the group trinity 5 7?,"Trinity 5:7 is a gospel duo from New Orleans, Louisiana in the United States."
who is inventor of the radio?,The first systematic and unequivocal transmission of EM waves was performed by Heinrich Rudolf Hertz and described in papers published in 1887 and 1890.
who is is the singer westlife?,Westlife were an Irish boy band which formed in 1998 and disbanded in 2012.
Who is Kent Hovind?,"Kent Hovind is incarcerated at the Federal Correctional Institution at Berlin, New Hampshire."
who is mary matalin married to?,Mary Matalin is married to Democratic political consultant James Carville.
who is norah jones parents?,Norah Jones is the daughter of Indian sitar player Ravi Shankar and Sue Jones.
who is on blink 182 album cover?,The cover artwork for Enema of the State features porn star Janine Lindemulder famously clad in a nurse uniform.
who is on the $10. bill?,"The first U.S. Secretary of the Treasury (1789–95), Alexander Hamilton , is currently featured on the obverse of the bill, while the U.S. Treasury Building is featured on the reverse."
who is on the hundred dollar bill?,"U.S. statesman, inventor, and diplomat Benjamin Franklin is currently featured on the obverse of the bill."
